# accession,Tm,ogt,species
F7BX26,49.6015798237691,37,Mus musculus
F7C846,54.761566473315376,37,Mus musculus
F7CB97,50.944595547908484,37,Mus musculus
F7CCJ3,50.48291531404276,37,Mus musculus
F7CK55,52.145253904366314,37,Mus musculus
F7CVW0,49.20536856302928,37,Mus musculus
F7D432,50.16863204888913,37,Mus musculus
F7DDS0,44.21967307552073,37,Mus musculus
F8VPK0,47.9989506123594,37,Mus musculus
F8VPK6,51.79856936643156,37,Mus musculus
F8VPN4,47.13521041690843,37,Mus musculus
F8VPQ2,50.81292108341892,37,Mus musculus
F8VPR5,47.9043137434541,37,Mus musculus
F8VPT6,47.79158749722818,37,Mus musculus
F8VPV0,50.359312967252194,37,Mus musculus
F8VPX1,46.94403081800987,37,Mus musculus
F8VPZ9,50.18126173418015,37,Mus musculus
F8VQ28,49.198429251948575,37,Mus musculus
F8VQ29,43.89183855270948,37,Mus musculus
F8VQ87,47.98788518985964,37,Mus musculus
F8VQ95,52.285303556852575,37,Mus musculus
F8VQC1,45.61732633187282,37,Mus musculus
F8VQC7,49.17412284394046,37,Mus musculus
F8VQC9,51.21588542617111,37,Mus musculus
F8VQE6,51.10045411906368,37,Mus musculus
F8VQE9,46.157360845763,37,Mus musculus
F8VQF9,49.694813233662636,37,Mus musculus
F8VQJ3,48.43892128228186,37,Mus musculus
F8VQK5,46.21731978363745,37,Mus musculus
F8VQZ7,59.170981511027115,37,Homo sapiens
F8VR32,51.35006945607474,37,Homo sapiens
F8VV59,54.09488476135654,37,Homo sapiens
F8VVA7,51.527648990852036,37,Homo sapiens
F8VVS7,46.88182165856304,37,Homo sapiens
F8VVT9,45.178677777380045,37,Homo sapiens
F8VWL3,51.133773997273536,37,Homo sapiens
F8VWQ5,53.452735282007694,37,Homo sapiens
F8VWT9,48.06179830111567,37,Homo sapiens
F8VWW7,53.77181030570298,37,Homo sapiens
F8VX10,46.49288258719798,37,Homo sapiens
F8VXC8,46.761988489794845,37,Homo sapiens
F8VXU5,55.55231060038973,37,Homo sapiens
F8VYC4,46.94300324320182,37,Homo sapiens
F8VYN9,51.76506407520342,37,Homo sapiens
F8VZG9,50.657928881512106,37,Homo sapiens
F8VZY9,56.28954879678801,37,Homo sapiens
F8W0Q9,54.4720358970234,37,Homo sapiens
F8W130,59.50068108604516,37,Homo sapiens
F8W1W9,53.42128419629746,37,Homo sapiens
F8W6G1,52.397550491871414,37,Homo sapiens
F8W6H6,52.35950951798615,37,Homo sapiens
F8W6L3,52.23732819395266,37,Homo sapiens
F8W703,56.94663521699469,37,Homo sapiens
F8W727,55.45264685765713,37,Homo sapiens
F8W7A7,48.82771861868063,37,Homo sapiens
F8W7C6,55.767346877218216,37,Homo sapiens
F8W7T1,50.491596003485085,37,Homo sapiens
F8W7U8,53.303840425872295,37,Homo sapiens
F8W8B0,52.2734437034737,37,Homo sapiens
F8W8D3,48.23498545589507,37,Homo sapiens
F8W8I8,55.29403623657843,37,Homo sapiens
F8W8R6,48.156238068112984,37,Homo sapiens
F8W8Y7,53.44901127559354,37,Homo sapiens
F8W930,45.61673431379087,37,Homo sapiens
F8W950,46.56582758476,37,Homo sapiens
F8W9H2,55.14549347914457,37,Homo sapiens
F8WA39,48.94243801155288,37,Homo sapiens
F8WAB8,50.6130741273378,37,Homo sapiens
F8WAZ6,51.07014955824543,37,Homo sapiens
F8WB06,51.34464847815308,37,Homo sapiens
F8WB74,51.585832580775524,37,Homo sapiens
F8WBA3,47.68031458302243,37,Homo sapiens
F8WBL2,54.63385978045222,37,Homo sapiens
F8WBU2,53.342646660794564,37,Homo sapiens
F8WC71,50.57862341442046,37,Homo sapiens
F8WCA0,57.226180719706406,37,Homo sapiens
F8WCA4,55.51808305961703,37,Homo sapiens
F8WCB7,52.544602578896495,37,Homo sapiens
F8WCC0,50.3092111020999,37,Homo sapiens
F8WCF4,51.00871203758825,37,Homo sapiens
F8WCF6,56.782429538331385,37,Homo sapiens
F8WCZ3,54.6900020088981,37,Homo sapiens
F8WDD0,56.93668571612719,37,Homo sapiens
F8WDR5,48.205715157782656,37,Homo sapiens
F8WEC0,49.84089415634392,37,Homo sapiens
F8WER7,53.77843843015829,37,Homo sapiens
F8WGT1,51.989977202632645,37,Mus musculus
F8WGW3,47.45158672022346,37,Mus musculus
F8WH20,48.366765418674525,37,Mus musculus
F8WH69,46.03033379242723,37,Mus musculus
F8WHL1,52.33135302486981,37,Mus musculus
F8WHL2,50.9253692305365,37,Mus musculus
F8WHM5,62.82567734950883,37,Mus musculus
F8WHS8,44.943054024449374,37,Mus musculus
F8WHU5,46.732139824751044,37,Mus musculus
F8WHU7,52.537448243302656,37,Mus musculus
F8WHW3,50.99453625799618,37,Mus musculus
F8WHW6,43.98627520272546,37,Mus musculus
F8WHW8,46.89409928443312,37,Mus musculus
F8WHX2,53.51299269189607,37,Mus musculus
F8WHY8,48.45991801817257,37,Mus musculus
F8WI14,52.63310577651816,37,Mus musculus
F8WI30,46.420842256585985,37,Mus musculus
F8WI56,51.50557066074192,37,Mus musculus
F8WIB1,47.03026117660846,37,Mus musculus
F8WIE5,47.98379818911493,37,Mus musculus
F8WIG5,49.40458177838557,37,Mus musculus
F8WIT2,47.21741645231327,37,Mus musculus
F8WIU7,49.69901802284074,37,Mus musculus
